iter	Passed	Remaining
0	0	21
1	0	20
2	0	20
3	0	20
4	1	19
5	1	19
6	1	19
7	1	19
8	1	18
9	2	18
10	2	18
11	2	17
12	2	17
13	2	17
14	2	16
15	3	16
16	3	16
17	3	16
18	3	15
19	3	15
20	4	15
21	4	15
22	4	15
23	4	15
24	4	14
25	5	14
26	5	14
27	5	14
28	5	13
29	5	13
30	6	13
31	6	13
32	6	13
33	6	13
34	6	12
35	7	12
36	7	12
37	7	12
38	7	11
39	7	11
40	8	11
41	8	11
42	8	11
43	8	10
44	8	10
45	8	10
46	9	10
47	9	10
48	9	9
49	9	9
50	9	9
51	10	9
52	10	9
53	10	9
54	10	8
55	10	8
56	11	8
57	11	8
58	11	8
59	11	7
60	11	7
61	12	7
62	12	7
63	12	7
64	12	6
65	13	6
66	13	6
67	13	6
68	13	6
69	13	5
70	14	5
71	14	5
72	14	5
73	14	5
74	14	4
75	14	4
76	15	4
77	15	4
78	15	4
79	15	3
80	15	3
81	16	3
82	16	3
83	16	3
84	16	2
85	16	2
86	17	2
87	17	2
88	17	2
89	17	1
90	17	1
91	18	1
92	18	1
93	18	1
94	18	0
95	18	0
96	18	0
97	19	0
98	19	0
99	19	0
